tahun;provinsi;kabupaten;kecamatan;kelurahan
2020;PROVINSI JAWA TIMUR;SIDOARJO;TANGGULANGIN;NGABAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;TANGGULANGIN;KLUDAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;TANGGULANGIN;BORO
2020;PROVINSI JAWA TIMUR;SIDOARJO;TANGGULANGIN;KEDENSARI
2020;PROVINSI JAWA TIMUR;SIDOARJO;TANGGULANGIN;KETEGAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;TANGGULANGIN;GANGGANGPANJANG
2020;PROVINSI JAWA TIMUR;SIDOARJO;TANGGULANGIN;RANDEGAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;KARANGTANJUNG
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;SUMORAME
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;NGAMPELSARI
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;BALONGGABUS
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;BALONGDOWO
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;KENDALPECABEAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;KEDUNGPELUK
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;KALIPECABEAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;KLURAK
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;KEBONSARI
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;GELAM
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;CANDI
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;SUGIHWARAS
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;KEDUNGKENDO
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;DURUNGBANJAR
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;DURUNGBEDUG
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;JAMBANGAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;SIDODADI
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;SEPANDE
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;SUMOKALI
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;TENGGULUNAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;BLIGO
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;WEDOROKLURAK
2020;PROVINSI JAWA TIMUR;SIDOARJO;CANDI;LARANGAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;TULANGAN;JANTI
2020;PROVINSI JAWA TIMUR;SIDOARJO;TULANGAN;KEBARON
2020;PROVINSI JAWA TIMUR;SIDOARJO;TULANGAN;KENONGO
2020;PROVINSI JAWA TIMUR;SIDOARJO;TULANGAN;GELANG
2020;PROVINSI JAWA TIMUR;SIDOARJO;TULANGAN;JIKEN
2020;PROVINSI JAWA TIMUR;SIDOARJO;TULANGAN;PANGKEMIRI
2020;PROVINSI JAWA TIMUR;SIDOARJO;TULANGAN;KEPATIHAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;TULANGAN;TULANGAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;TULANGAN;KEPADANGAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;TULANGAN;TLASIH
2020;PROVINSI JAWA TIMUR;SIDOARJO;TULANGAN;KAJEKSAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;TULANGAN;SINGOPADU
2020;PROVINSI JAWA TIMUR;SIDOARJO;TULANGAN;KEMANTREN
2020;PROVINSI JAWA TIMUR;SIDOARJO;TULANGAN;KEPUNTEN
2020;PROVINSI JAWA TIMUR;SIDOARJO;TULANGAN;KEPUHKEMIRI
2020;PROVINSI JAWA TIMUR;SIDOARJO;TULANGAN;GRINTING
2020;PROVINSI JAWA TIMUR;SIDOARJO;TULANGAN;MODONG
2020;PROVINSI JAWA TIMUR;SIDOARJO;TULANGAN;GROGOL
2020;PROVINSI JAWA TIMUR;SIDOARJO;TULANGAN;MEDALEM
2020;PROVINSI JAWA TIMUR;SIDOARJO;TULANGAN;SUDIMORO
